,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
35,0.288,0.132,2,-14.057,1,0.0318,0.875,0.0,0.0759,0.262,82.813,audio_features,2FqOLG4ViICqhx35v8xoBx,spotify:track:2FqOLG4ViICqhx35v8xoBx,https://api.spotify.com/v1/tracks/2FqOLG4ViICqhx35v8xoBx,https://api.spotify.com/v1/audio-analysis/2FqOLG4ViICqhx35v8xoBx,185827,4
36,0.645,0.165,4,-14.859,1,0.0329,0.918,0.000308,0.0829,0.199,96.822,audio_features,3qhxI5f7klTVfK0iWYmKdM,spotify:track:3qhxI5f7klTVfK0iWYmKdM,https://api.spotify.com/v1/tracks/3qhxI5f7klTVfK0iWYmKdM,https://api.spotify.com/v1/audio-analysis/3qhxI5f7klTVfK0iWYmKdM,174600,3
37,0.625,0.522,5,-10.345,1,0.035,0.049,3.14e-05,0.0991,0.745,119.557,audio_features,3q7cXyhLWyYgf5uxZPW9w2,spotify:track:3q7cXyhLWyYgf5uxZPW9w2,https://api.spotify.com/v1/tracks/3q7cXyhLWyYgf5uxZPW9w2,https://api.spotify.com/v1/audio-analysis/3q7cXyhLWyYgf5uxZPW9w2,284907,4
38,0.504,0.4,0,-7.934,1,0.0339,0.447,0.0,0.135,0.482,78.668,audio_features,3eNieNIpOWOAUr0f50DCqL,spotify:track:3eNieNIpOWOAUr0f50DCqL,https://api.spotify.com/v1/tracks/3eNieNIpOWOAUr0f50DCqL,https://api.spotify.com/v1/audio-analysis/3eNieNIpOWOAUr0f50DCqL,159240,4
39,0.425,0.188,10,-9.927,1,0.0289,0.863,0.0,0.347,0.502,97.048,audio_features,0EIEvpiVxoXEn5GZWvG1RT,spotify:track:0EIEvpiVxoXEn5GZWvG1RT,https://api.spotify.com/v1/tracks/0EIEvpiVxoXEn5GZWvG1RT,https://api.spotify.com/v1/audio-analysis/0EIEvpiVxoXEn5GZWvG1RT,185627,4
40,0.301,0.14,11,-15.398,1,0.0369,0.984,0.033,0.149,0.143,132.701,audio_features,7Hig0uoQDKT1eMVA62sTzd,spotify:track:7Hig0uoQDKT1eMVA62sTzd,https://api.spotify.com/v1/tracks/7Hig0uoQDKT1eMVA62sTzd,https://api.spotify.com/v1/audio-analysis/7Hig0uoQDKT1eMVA62sTzd,215947,4
41,0.616,0.558,5,-7.377,1,0.0295,0.185,0.0,0.191,0.324,93.946,audio_features,1FxxgBVRMCTMqdgEBZIBaI,spotify:track:1FxxgBVRMCTMqdgEBZIBaI,https://api.spotify.com/v1/tracks/1FxxgBVRMCTMqdgEBZIBaI,https://api.spotify.com/v1/audio-analysis/1FxxgBVRMCTMqdgEBZIBaI,305307,4
42,0.323,0.185,1,-11.221,0,0.0313,0.92,3.65e-06,0.337,0.387,74.718,audio_features,77i95B3GcC2aOqK70RHM0m,spotify:track:77i95B3GcC2aOqK70RHM0m,https://api.spotify.com/v1/tracks/77i95B3GcC2aOqK70RHM0m,https://api.spotify.com/v1/audio-analysis/77i95B3GcC2aOqK70RHM0m,185093,4
43,0.342,0.375,9,-10.012,1,0.0322,0.838,0.00229,0.0821,0.585,81.084,audio_features,221XgJXCVkZ1ERPyfO3OlO,spotify:track:221XgJXCVkZ1ERPyfO3OlO,https://api.spotify.com/v1/tracks/221XgJXCVkZ1ERPyfO3OlO,https://api.spotify.com/v1/audio-analysis/221XgJXCVkZ1ERPyfO3OlO,223053,3
44,0.67,0.24,2,-12.158,0,0.0697,0.863,0.0,0.231,0.578,130.205,audio_features,7G2jAmiYUDZKyk7npVrgX8,spotify:track:7G2jAmiYUDZKyk7npVrgX8,https://api.spotify.com/v1/tracks/7G2jAmiYUDZKyk7npVrgX8,https://api.spotify.com/v1/audio-analysis/7G2jAmiYUDZKyk7npVrgX8,168893,4
45,0.55,0.208,8,-14.338,1,0.0588,0.46,0.0,0.125,0.414,120.505,audio_features,4YQU4nreaVr16nDq1uaI0E,spotify:track:4YQU4nreaVr16nDq1uaI0E,https://api.spotify.com/v1/tracks/4YQU4nreaVr16nDq1uaI0E,https://api.spotify.com/v1/audio-analysis/4YQU4nreaVr16nDq1uaI0E,160280,4
46,0.689,0.723,0,-8.079,1,0.0483,0.755,0.0,0.248,0.962,105.913,audio_features,3reMY0PF49alfXMs30c2z4,spotify:track:3reMY0PF49alfXMs30c2z4,https://api.spotify.com/v1/tracks/3reMY0PF49alfXMs30c2z4,https://api.spotify.com/v1/audio-analysis/3reMY0PF49alfXMs30c2z4,142267,4
47,0.6,0.202,0,-11.021,1,0.0329,0.903,0.0,0.35,0.74,118.224,audio_features,0gxpt81ZzaX0x72k1NOojB,spotify:track:0gxpt81ZzaX0x72k1NOojB,https://api.spotify.com/v1/tracks/0gxpt81ZzaX0x72k1NOojB,https://api.spotify.com/v1/audio-analysis/0gxpt81ZzaX0x72k1NOojB,149093,3
48,0.623,0.315,9,-12.321,1,0.0475,0.709,0.0,0.0874,0.625,110.38,audio_features,3zopUGxKy1Uz4cKtDGjZry,spotify:track:3zopUGxKy1Uz4cKtDGjZry,https://api.spotify.com/v1/tracks/3zopUGxKy1Uz4cKtDGjZry,https://api.spotify.com/v1/audio-analysis/3zopUGxKy1Uz4cKtDGjZry,143133,4
