,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
54,Bill Haley & His Comets,Rock Around The Clock,1950,42yP5D36DoJ7cKKnhnwOZp,https://video-ssl.itunes.apple.com/itunes-assets/Video91/v4/b6/ab/9e/b6ab9e26-a2ae-ffb3-0b6b-7f35da02aa22/mzvf_8225921531363858392.640x352.h264lc.U.p.m4v,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,drama
55,Mitch Miller,The Yellow Rose of Texas,1950,7985fUI9WlsIIrQuO9TBDh,https://p.scdn.co/mp3-preview/1abad6dd6b940b5dc9c1aadb54aeca669e28b42f?cid=b05f690e17ba4b758d92a214cfbc7f24,The Yellow Rose of Texas - Single Version,Mitch Miller,0kLeQeOAEqHdFMUItesuij,"['adult standards', 'easy listening']"
56,The Four Aces,Love Is A Many Splendored Thing,1950,23G8P94lKwgXNAKH2z5VP8,https://p.scdn.co/mp3-preview/bcdf117ca542f59f39911f8fd8cb9568daff131c?cid=b05f690e17ba4b758d92a214cfbc7f24,Love Is a Many-Splendored Thing,The Four Aces,542GsScaNnc2Ed8yokKLsy,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']"
57,Roger Williams,Autumn Leaves,1950,4AyqwjnbbWfFLPKL4UUSzU,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/2d/28/4f/2d284f35-c68d-38fe-eff3-01dd96c8e8dd/mzaf_8623127114537020382.plus.aac.p.m4a,Autumn Leaves,Roger Williams,55CCS64lPz88twUDVquU1u,new age
58,Tennessee Ernie Ford,Sixteen Tons,1950,4KM77RUl2IKdXGhtOBbKIS,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/6a/e4/a3/6ae4a300-6757-0635-16fe-aede46f1a635/mzaf_4217400515341695453.plus.aac.p.m4a,Sixteen Tons,Tennessee Ernie Ford,7u6FSuqT3SWE2kO8rNVjfp,country
59,Dean Martin,Memories Are Made Of This,1950,4h0igWYayzteBtSNpWYQ9h,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/f9/63/cb/f963cbfb-f277-8bff-e048-68546e045df7/mzaf_643981165854738423.plus.aac.p.m4a,Memories Are Made Of This,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
60,Kay Starr,Rock And Roll Waltz,1950,7te9DUttzNePdSlkIgSTdz,https://p.scdn.co/mp3-preview/f96d220d7fb99abfcce78bc6b1c2e8993d3fd27f?cid=b05f690e17ba4b758d92a214cfbc7f24,Rock And Roll Waltz,Kay Starr,7rpf45DdbpweG51Acze45i,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'torch song', 'vocal jazz']"
61,Nelson Riddle,Lisbon Antigua,1950,1fazjcfV0fNI14sB1ohQjk,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview19/v4/dd/45/ef/dd45ef12-40b7-e838-593a-a2039141baaf/mzaf_3456371141680870089.plus.aac.p.m4a,Lisbon Antigua - Remastered,Nelson Riddle,6PyGlGbMoNqkofF14K4BWb,pop
62,Les Baxter,Poor People Of Paris,1950,70gZnClysSHCBwI0H4qr5O,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview62/v4/80/49/b8/8049b89f-300c-b4cb-3d08-5dd60feb3e80/mzaf_3847487592188895835.plus.aac.p.m4a,The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,35pV6EUbherudlvAftoueR,pop
63,Elvis Presley,Heartbreak Hotel,1950,5FmcPdb3X0v7otb7GkUSkm,https://p.scdn.co/mp3-preview/a666e015c361c1d1be18a1c51b36697ed4199f92?cid=b05f690e17ba4b758d92a214cfbc7f24,Heartbreak Hotel - Live,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
64,Gogi Grant,The Wayward Wind,1950,2VqsUEpRPvgiiBdsBuQrJz,https://p.scdn.co/mp3-preview/ce43319b99a7cf35c1d00a6f3c1f0669ac53f8dd?cid=b05f690e17ba4b758d92a214cfbc7f24,The Wayward Wind,Gogi Grant,2Ak3GNswCQfRKDs3P8uWaQ,deep adult standards
65,Elvis Presley,"I Want You, I Need You, I Love You",1950,60tEaPHRJLnMzbyOPTeh3A,https://p.scdn.co/mp3-preview/2821fcc2eb2ae761550ffc25af9446492e9ed5f2?cid=b05f690e17ba4b758d92a214cfbc7f24,"I Want You, I Need You, I Love You",Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
66,The Platters,My Prayer,1950,1ntGJDSakqsaw1KhptKrB5,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/2b/06/52/2b0652ec-99b7-1727-40cc-c4fc5111baff/mzaf_857758805874165133.plus.aac.p.m4a,My Prayer,The Platters,6KWcxMWVNVIYbdOQyJtsSy,r&b/soul
67,Elvis Presley,Don't Be Cruel,1950,01u6AEzGbGbQyYVdxajxqk,https://p.scdn.co/mp3-preview/55f71e5caaccf649dd8c1ab9742cd0c09e1e65e7?cid=b05f690e17ba4b758d92a214cfbc7f24,Don't Be Cruel,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
68,Elvis Presley,Love Me Tender,1950,7LSGjWtza5Y8itm6Cpbj1s,https://p.scdn.co/mp3-preview/7ae10cad3fd7634f1240863c9e530dc0d3829416?cid=b05f690e17ba4b758d92a214cfbc7f24,Love Me Tender,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
69,Guy Mitchell,Singing The Blues,1950,084mnrInuL8H1JZbIzuH3T,https://p.scdn.co/mp3-preview/9e720e65f1857d2953770ff20b26121cfacabca8?cid=b05f690e17ba4b758d92a214cfbc7f24,Singing the Blues,Guy Mitchell,1YAtBHWaWzZnkaoSFHGTBV,"['adult standards', 'brill building pop', 'deep adult standards', 'lounge', 'rock-and-roll']"
70,Elvis Presley,Too Much,1950,3nmKGD8CoBOYRcuG6c3iw3,https://p.scdn.co/mp3-preview/93abc5cc6c190d0a6ec4ae0b2dacb210bc21cc59?cid=b05f690e17ba4b758d92a214cfbc7f24,Too Much,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
71,Tab Hunter,Young Love,1950,53Twix2laakfedihbu7GkK,https://p.scdn.co/mp3-preview/b02feef5eca5cea1a3cf9e76f034110970d3b571?cid=b05f690e17ba4b758d92a214cfbc7f24,Young Love,Tab Hunter,0pVnnK639XgJiMuv10JLRe,['deep adult standards']
